	price	voyageurs	nb_chambres	nb_lits	nb_sdb	Jacuzzi	Barbecue	Lit_pour_bébé	Extincteur	Ustensiles_de_barbecue	Jardin_privé(e),_Clôture_intégrale	Piscine	Salle_de_sport
325	171	3.0	2	2.0	1	0	0	0	0	0	0	0	0
326	150	4.0	2	2.0	1	0	0	0	0	0	0	0	0
327	174	4.0	1	2.0	1	0	0	1	0	0	0	0	0
328	157	4.0	2	3.0	1	0	0	0	0	0	1	0	0
329	150	6.0	2	4.0	1	0	0	0	0	0	0	0	0
330	180	4.0	1	2.0	1	0	0	0	0	0	0	0	0
331	150	4.0	2	3.0	1	0	0	0	0	0	0	0	0
332	177	4.0	1	1.0	1	0	0	0	0	0	0	0	0
333	150	6.0	2	4.0	1	0	0	1	1	0	0	0	0
334	150	6.0	2	3.0	1	0	0	0	0	0	0	1	0
335	184	4.0	1	2.0	1	0	0	0	0	0	0	0	0
336	145	2.0	1	1.0	1	0	0	0	0	0	0	0	0
337	178	4.0	1	1.0	1	0	0	0	0	0	0	0	0
338	172	4.0	2	2.0	1	0	0	0	0	0	0	0	0
339	176	3.0	1	2.0	1	0	0	0	0	0	0	0	0
340	172	4.0	2	2.0	1	0	0	0	0	0	0	0	0
341	156	2.0	0	1.0	1	0	0	0	0	0	0	0	0
342	143	4.0	1	2.0	1	0	0	1	0	0	0	0	0
343	163	4.0	1	2.0	1	0	0	0	0	0	0	0	0
344	156	5.0	2	3.0	1	0	0	1	0	0	0	0	0
345	151	4.0	1	2.0	1	0	0	0	0	0	0	0	0
346	149	2.0	1	2.0	1	0	0	0	1	0	0	0	0
347	150	4.0	2	3.0	1	0	0	0	1	0	0	0	0
348	146	5.0	2	6.0	1	0	0	0	0	0	0	0	0
349	189	4.0	1	2.0	1	0	0	0	0	0	0	0	0
350	184	4.0	1	2.0	1	0	0	0	0	0	0	0	0
351	180	4.0	1	2.0	1	0	0	0	0	0	0	0	0
352	178	4.0	2	3.0	1	0	0	0	0	0	0	0	0
353	172	2.0	1	1.0	1	0	0	0	0	0	0	0	0
354	150	4.0	2	2.0	1	0	0	0	0	0	0	0	0
355	150	3.0	1	2.0	1	0	0	0	0	0	0	0	0
356	145	6.0	2	3.0	1	0	0	0	0	0	0	0	0
357	150	4.0	1	2.0	1	0	0	0	0	0	0	0	0
358	184	4.0	1	3.0	1	0	0	0	0	0	0	1	1
359	150	4.0	2	2.0	1	0	0	0	0	0	0	0	0
360	169	3.0	1	1.0	1	0	0	1	0	0	0	0	0
361	169	4.0	1	2.0	1	0	0	1	0	0	0	0	0
362	147	4.0	2	2.0	1	0	0	0	0	0	0	0	0
363	155	6.0	2	4.0	1	0	0	1	0	0	0	0	0
364	171	4.0	1	2.0	1	0	0	0	0	0	0	0	0
365	148	4.0	1	2.0	1	0	0	0	0	0	0	1	0
366	150	2.0	0	1.0	1	0	0	0	0	0	0	0	0
367	115	2.0	0	1.0	1	0	0	0	0	0	0	0	0
368	147	4.0	1	2.0	1	0	0	0	0	0	0	0	0
369	157	3.0	1	1.0	1	0	0	0	1	0	0	0	0
370	169	4.0	2	3.0	1	0	0	0	0	0	0	0	0
371	170	6.0	2	4.0	1	0	0	0	0	0	0	0	0
372	200	4.0	2	3.0	1	0	0	1	0	0	0	0	0
373	199	4.0	2	2.0	1	0	0	0	0	0	0	0	0
374	176	4.0	2	2.0	1	0	0	1	0	0	0	0	0
375	220	3.0	0	2.0	1	0	0	0	0	0	0	0	0
376	209	4.0	1	2.0	1	0	0	1	0	0	0	0	0
377	135	4.0	2	3.0	1	0	0	0	1	0	0	0	0
378	170	2.0	1	1.0	1	0	0	0	0	0	0	0	0
379	190	6.0	2	3.0	1	0	0	1	0	0	1	0	0
380	170	6.0	2	3.0	1	0	0	1	0	0	0	0	0
381	171	4.0	2	2.0	1	0	0	0	0	0	0	0	0
382	188	6.0	2	3.0	1	0	0	0	0	0	0	0	0
383	169	4.0	2	2.0	1	0	0	0	0	0	0	0	0
384	180	7.0	2	4.0	1	0	0	0	0	0	0	0	0
385	212	6.0	3	3.0	1	0	0	1	0	0	0	0	0
386	171	4.0	2	2.0	1	0	0	0	0	0	0	0	0
387	209	4.0	1	2.0	1	0	0	1	0	0	0	0	0
388	61	3.0	0	2.0	1	0	0	0	0	0	0	0	0
389	160	4.0	2	3.0	1	0	0	0	0	0	0	1	0
390	200	4.0	2	3.0	1	0	0	0	0	0	0	0	0
391	185	4.0	2	2.0	1	0	1	0	0	1	0	0	0
392	160	4.0	2	3.0	1	0	0	0	1	0	0	0	0
393	175	2.0	1	1.0	1	0	0	0	0	0	1	0	0
394	160	2.0	1	1.0	1	0	0	0	1	0	0	0	0
395	170	2.0	1	1.0	1	0	0	0	0	0	0	0	0
396	60	4.0	2	2.0	1	0	0	0	0	0	0	0	0
397	222	4.0	2	3.0	1	0	0	0	0	0	0	0	0
398	175	6.0	2	3.0	1	0	0	0	1	0	0	1	0
399	179	4.0	1	2.0	1	0	0	0	0	0	0	0	0
400	188	4.0	2	2.0	1	0	0	0	0	0	0	0	0
401	179	4.0	1	1.0	1	1	0	0	1	0	0	0	0
402	170	4.0	1	2.0	1	0	0	0	1	0	0	0	0
